[Test] Rodando loop por 3600s...
  step=249500, err=0.0638, surprise=1.000
  step=250000, err=0.8099, surprise=2.078
  step=250500, err=0.6564, surprise=2.043
  step=251000, err=0.5344, surprise=1.000
  step=251500, err=0.6868, surprise=2.609
  step=252000, err=0.2752, surprise=1.000
  step=252500, err=0.2797, surprise=1.000
  step=253000, err=0.7114, surprise=1.372
  step=253500, err=0.4982, surprise=1.000
  step=254000, err=0.0510, surprise=1.000
  step=254500, err=0.0521, surprise=1.000
  step=255000, err=0.8257, surprise=2.218
  step=255500, err=0.6385, surprise=2.089
  step=256000, err=0.8167, surprise=1.953
  step=256500, err=0.9581, surprise=3.577
  step=257000, err=0.1028, surprise=1.000
  step=257500, err=0.0063, surprise=1.000
  step=258000, err=0.0968, surprise=1.000
  step=258500, err=0.6406, surprise=1.000
  step=259000, err=0.7088, surprise=1.045
  step=259500, err=0.7651, surprise=2.314
  step=260000, err=1.0714, surprise=3.434
  step=260500, err=0.7802, surprise=1.782
  step=261000, err=0.1961, surprise=1.000
  step=261500, err=0.0620, surprise=1.000
  step=262000, err=0.3244, surprise=1.000
  step=262500, err=0.2795, surprise=1.000
  step=263000, err=0.6044, surprise=1.000
  step=263500, err=0.1167, surprise=1.000
  step=264000, err=0.9159, surprise=2.618
  step=264500, err=1.0347, surprise=3.609
  step=265000, err=1.0642, surprise=3.412
  step=265500, err=1.0517, surprise=3.396
  step=266000, err=1.0039, surprise=3.230
  step=266500, err=0.1984, surprise=1.000
  step=267000, err=0.6664, surprise=1.534
  step=267500, err=0.0145, surprise=1.000
  step=268000, err=0.3960, surprise=1.000
  step=268500, err=0.1641, surprise=1.000
  step=269000, err=0.3926, surprise=1.000
  step=269500, err=0.9805, surprise=3.098
  step=270000, err=0.5432, surprise=1.000
  step=270500, err=0.2247, surprise=1.000
  step=271000, err=0.2063, surprise=1.000
  step=271500, err=0.0788, surprise=1.000
  step=272000, err=0.9777, surprise=3.159
  step=272500, err=0.2800, surprise=1.000
  step=273000, err=0.0137, surprise=1.000
  step=273500, err=0.2464, surprise=1.000
  step=274000, err=0.9616, surprise=2.965
  step=274500, err=1.0691, surprise=3.491
  step=275000, err=0.5213, surprise=1.000
  step=275500, err=0.4520, surprise=1.000
  step=276000, err=1.0740, surprise=3.524
  step=276500, err=0.1298, surprise=1.000
  step=277000, err=0.6558, surprise=1.000
  step=277500, err=0.0203, surprise=1.000
  step=278000, err=0.6639, surprise=2.454
  step=278500, err=0.9146, surprise=3.689
  step=279000, err=1.0539, surprise=3.441
  step=279500, err=1.0930, surprise=3.476
  step=280000, err=0.3482, surprise=1.000
  step=280500, err=1.0509, surprise=3.343
  step=281000, err=0.6593, surprise=2.382
  step=281500, err=0.9748, surprise=3.177
  step=282000, err=0.8351, surprise=2.190
  step=282500, err=0.2809, surprise=1.000
  step=283000, err=0.4761, surprise=1.132
  step=283500, err=0.1750, surprise=1.000
  step=284000, err=0.0437, surprise=1.000
  step=284500, err=0.9282, surprise=2.842
  step=285000, err=0.3756, surprise=1.000
  step=285500, err=0.6800, surprise=1.000
  step=286000, err=0.9400, surprise=3.534
  step=286500, err=0.7105, surprise=1.426
  step=287000, err=0.1233, surprise=1.000
  step=287500, err=0.0278, surprise=1.000
  step=288000, err=0.8998, surprise=3.336
  step=288500, err=0.7612, surprise=2.481
  step=289000, err=0.1390, surprise=1.000
  step=289500, err=1.0221, surprise=3.323
  step=290000, err=1.0203, surprise=3.258
  step=290500, err=0.7521, surprise=1.000
  step=291000, err=0.1199, surprise=1.000
  step=291500, err=0.6336, surprise=1.000
  step=292000, err=0.1332, surprise=1.000
  step=292500, err=0.2810, surprise=1.000
  step=293000, err=0.9536, surprise=3.682
  step=293500, err=0.0315, surprise=1.000
  step=294000, err=0.8780, surprise=2.908
  step=294500, err=0.5943, surprise=1.000
  step=295000, err=1.0273, surprise=3.253
  step=295500, err=1.0860, surprise=3.318
  step=296000, err=0.0031, surprise=1.000
  step=296500, err=0.9304, surprise=2.885
  step=297000, err=0.9342, surprise=2.974
  step=297500, err=0.0326, surprise=1.000
  step=298000, err=0.4847, surprise=1.000
  step=298500, err=0.1419, surprise=1.000
  step=299000, err=0.5550, surprise=2.237
  step=299500, err=0.7661, surprise=1.722
  step=300000, err=0.9503, surprise=2.992
  step=300500, err=0.3757, surprise=1.000
  step=301000, err=0.4572, surprise=1.000
  step=301500, err=0.7331, surprise=1.457
  step=302000, err=1.0012, surprise=3.165
  step=302500, err=0.2822, surprise=1.000
  step=303000, err=0.1568, surprise=1.000
  step=303500, err=0.6566, surprise=1.418
  step=304000, err=0.6410, surprise=2.864
  step=304500, err=0.1642, surprise=1.000
  step=305000, err=0.9306, surprise=2.854
  step=305500, err=0.3047, surprise=1.000
  step=306000, err=0.9743, surprise=3.266
  step=306500, err=0.3034, surprise=1.000
  step=307000, err=0.8941, surprise=2.584
  step=307500, err=0.0397, surprise=1.000
  step=308000, err=0.9980, surprise=3.429
  step=308500, err=0.5973, surprise=1.000
  step=309000, err=0.7900, surprise=2.501
  step=309500, err=0.3776, surprise=1.000
  step=310000, err=0.0680, surprise=1.000
  step=310500, err=1.0744, surprise=3.450
  step=311000, err=0.8791, surprise=2.505
  step=311500, err=0.9292, surprise=2.837
  step=312000, err=0.8709, surprise=2.488
  step=312500, err=0.2832, surprise=1.000
  step=313000, err=1.0644, surprise=3.705
  step=313500, err=1.0540, surprise=3.559
  step=314000, err=0.6366, surprise=1.452
  step=314500, err=0.2932, surprise=1.000
  step=315000, err=0.1163, surprise=1.000
  step=315500, err=0.7815, surprise=1.757
  step=316000, err=0.8211, surprise=2.159
  step=316500, err=1.0939, surprise=3.512
  step=317000, err=0.0168, surprise=1.000
  step=317500, err=0.0441, surprise=1.000
  step=318000, err=0.3967, surprise=1.000
  step=318500, err=1.0492, surprise=3.386
  step=319000, err=1.0117, surprise=3.351
  step=319500, err=0.0056, surprise=1.000
  step=320000, err=0.3626, surprise=1.000
  step=320500, err=0.7034, surprise=1.829
  step=321000, err=1.0494, surprise=3.351
  step=321500, err=0.4286, surprise=1.000
  step=322000, err=0.1286, surprise=1.000
  step=322500, err=0.2823, surprise=1.000
  step=323000, err=0.0056, surprise=1.000
  step=323500, err=0.9570, surprise=3.096
  step=324000, err=0.5125, surprise=1.000
  step=324500, err=0.6208, surprise=1.000
  step=325000, err=0.3105, surprise=1.000
  step=325500, err=1.0332, surprise=3.582
  step=326000, err=0.5226, surprise=1.000
  step=326500, err=0.0802, surprise=1.000
  step=327000, err=0.9388, surprise=2.845
  step=327500, err=0.0513, surprise=1.000
  step=328000, err=1.0251, surprise=3.451
  step=328500, err=0.9723, surprise=3.129
  step=329000, err=0.1559, surprise=1.000
  step=329500, err=0.0733, surprise=1.000
  step=330000, err=0.8263, surprise=2.210
  step=330500, err=0.1699, surprise=1.000
  step=331000, err=1.0804, surprise=3.545
